,volume_sales,title_names,author_names,publisher
61,"<td class=""left"" id=""table-cell-10943-61-3"" style=""color: #000000""> 1,004,414 </td>","<td class=""left"" id=""table-cell-10943-61-1"" style=""color: #000000""> Boy in the Striped Pyjamas,The </td>","<td class=""left"" id=""table-cell-10943-61-2"" style=""color: #000000""> Boyne, John </td>","<td class=""left"" id=""table-cell-10943-61-4"" style=""color: #000000""> Random House Childrens Books G </td>"
62,"<td class=""left"" id=""table-cell-10943-62-3"" style=""color: #000000""> 1,003,780 </td>","<td class=""left"" id=""table-cell-10943-62-1"" style=""color: #000000""> My Sister's Keeper </td>","<td class=""left"" id=""table-cell-10943-62-2"" style=""color: #000000""> Picoult, Jodi </td>","<td class=""left"" id=""table-cell-10943-62-4"" style=""color: #000000""> Hodder &amp; Stoughton </td>"
63,"<td class=""left"" id=""table-cell-10943-63-3"" style=""color: #000000""> 1,002,314 </td>","<td class=""left"" id=""table-cell-10943-63-1"" style=""color: #000000""> Amber Spyglass,The:His Dark Materials S. </td>","<td class=""left"" id=""table-cell-10943-63-2"" style=""color: #000000""> Pullman, Philip </td>","<td class=""left"" id=""table-cell-10943-63-4"" style=""color: #000000""> Scholastic Ltd. </td>"
64,"<td class=""left"" id=""table-cell-10943-64-3"" style=""color: #000000""> 998,213 </td>","<td class=""left"" id=""table-cell-10943-64-1"" style=""color: #000000""> To Kill a Mockingbird </td>","<td class=""left"" id=""table-cell-10943-64-2"" style=""color: #000000""> Lee, Harper </td>","<td class=""left"" id=""table-cell-10943-64-4"" style=""color: #000000""> Random House </td>"
65,"<td class=""left"" id=""table-cell-10943-65-3"" style=""color: #000000""> 992,846 </td>","<td class=""left"" id=""table-cell-10943-65-1"" style=""color: #000000""> Men are from Mars, Women are from Venus:A Practical Guide for Improvin </td>","<td class=""left"" id=""table-cell-10943-65-2"" style=""color: #000000""> Gray, John </td>","<td class=""left"" id=""table-cell-10943-65-4"" style=""color: #000000""> HarperCollins </td>"
66,"<td class=""left"" id=""table-cell-10943-66-3"" style=""color: #000000""> 986,753 </td>","<td class=""left"" id=""table-cell-10943-66-1"" style=""color: #000000""> Dear Fatty </td>","<td class=""left"" id=""table-cell-10943-66-2"" style=""color: #000000""> French, Dawn </td>","<td class=""left"" id=""table-cell-10943-66-4"" style=""color: #000000""> Random House </td>"
67,"<td class=""left"" id=""table-cell-10943-67-3"" style=""color: #000000""> 986,115 </td>","<td class=""left"" id=""table-cell-10943-67-1"" style=""color: #000000""> Short History of Tractors in Ukrainian,A </td>","<td class=""left"" id=""table-cell-10943-67-2"" style=""color: #000000""> Lewycka, Marina </td>","<td class=""left"" id=""table-cell-10943-67-4"" style=""color: #000000""> Penguin </td>"
68,"<td class=""left"" id=""table-cell-10943-68-3"" style=""color: #000000""> 970,509 </td>","<td class=""left"" id=""table-cell-10943-68-1"" style=""color: #000000""> Hannibal </td>","<td class=""left"" id=""table-cell-10943-68-2"" style=""color: #000000""> Harris, Thomas </td>","<td class=""left"" id=""table-cell-10943-68-4"" style=""color: #000000""> Random House </td>"
69,"<td class=""left"" id=""table-cell-10943-69-3"" style=""color: #000000""> 967,466 </td>","<td class=""left"" id=""table-cell-10943-69-1"" style=""color: #000000""> Lord of the Rings,The </td>","<td class=""left"" id=""table-cell-10943-69-2"" style=""color: #000000""> Tolkien, J. R. R. </td>","<td class=""left"" id=""table-cell-10943-69-4"" style=""color: #000000""> HarperCollins </td>"
70,"<td class=""left"" id=""table-cell-10943-70-3"" style=""color: #000000""> 963,353 </td>","<td class=""left"" id=""table-cell-10943-70-1"" style=""color: #000000""> Stupid White Men:...and Other Sorry Excuses for the State of the Natio </td>","<td class=""left"" id=""table-cell-10943-70-2"" style=""color: #000000""> Moore, Michael </td>","<td class=""left"" id=""table-cell-10943-70-4"" style=""color: #000000""> Penguin </td>"
